Unnamed: 0,protocol,IP,hash ID,Time,F_Pck,B_Pck,F_P_L1,F_P_L2,F_P_L3,F_P_L4,B_P_L1,B_P_L2,B_P_L3,B_P_L4,F_Hash_IPT,B_Hash_IPT,F_P_L_A,B_P_L_A,F_IA_T_M,F_IA_T_S,A_M,I_M,F_TCP_S_C,B_TCP_S_C,Label_T,Label_AB,Label_Multi_A,Prelabel_T,Prelabel_AB,Prelabel_Multi_A
3,6,10.1.1.2,2550164764,0.215837,0,100,0,0,0,0,0,0,100,0,16,14,0,503,-1.0,-1.0,0.0,0.0,0,0,0,1,2,0,1,2
6,6,10.1.1.4,3743576265,0.301639,0,100,0,0,0,0,0,0,100,0,16,16,0,576,-1.0,-1.0,0.0,0.0,0,0,0,1,4,0,1,4
8,6,10.1.1.2,2550164764,0.343668,0,100,0,0,0,0,0,0,100,0,16,15,0,512,0.0,200264.439,0.0,102535393.0,0,0,0,1,2,0,1,2
12,6,10.1.1.2,2550164764,0.501556,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,162140.317,0.0,83015842.52,0,0,0,1,2,0,1,2
17,6,10.1.1.4,3743576265,0.631884,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,77518.202,0.0,44650484.33,0,0,0,1,4,0,1,4
19,6,10.1.1.2,2550164764,0.671655,0,100,0,0,0,0,0,0,100,0,16,15,0,506,0.0,150500.573,0.0,76285730.51,0,0,0,1,2,0,1,2
25,6,10.1.1.2,2550164764,0.8319,0,100,0,0,0,0,0,0,100,0,16,15,0,512,0.0,159755.195,0.0,81794659.84,0,0,0,1,2,0,1,2
29,6,10.1.1.4,3743576265,0.956633,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,78830.114,0.0,45406145.43,0,0,0,1,4,0,1,4
31,6,10.1.1.2,2550164764,0.992836,0,100,0,0,0,0,0,0,100,0,16,16,0,507,0.0,159069.564,0.0,80730984.92,0,0,0,1,2,0,1,2
32,6,10.1.1.8,3884774358,1.004455,0,100,0,0,0,0,0,0,95,5,16,16,0,584,-1.0,-1.0,0.0,0.0,0,0,0,1,8,0,1,4
39,6,10.1.1.2,2550164764,1.265946,0,100,0,0,0,0,0,1,99,0,16,16,0,507,0.0,93735.155,0.0,47572465.84,0,0,0,1,2,0,1,2
40,6,10.1.1.4,3743576265,1.278772,0,100,0,0,0,0,0,0,100,0,16,15,0,576,0.0,79468.795,0.0,45774025.71,0,0,0,1,4,0,1,4
49,6,10.1.1.7,1673646831,1.43466,0,100,0,0,0,0,0,0,100,0,15,16,0,260,-1.0,-1.0,0.0,0.0,0,0,0,1,7,0,1,7
50,6,10.1.1.2,2550164764,1.451366,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,138064.907,0.0,70689232.19,0,0,0,1,2,0,1,2
58,6,10.1.1.2,2550164764,1.627107,0,100,0,0,0,0,0,0,100,0,16,16,0,510,0.0,145668.748,0.0,74302715.14,0,0,0,1,2,0,1,2
59,6,10.1.1.4,3743576265,1.630453,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,72793.243,0.0,41928907.87,0,0,0,1,4,0,1,4
63,6,10.1.1.3,159023198,1.684231,0,100,0,0,0,0,0,0,0,100,16,16,0,1496,-1.0,-1.0,0.0,0.0,0,0,0,1,3,0,1,3
67,6,10.1.1.2,2550164764,1.758159,0,100,0,0,0,0,0,1,99,0,16,15,0,503,0.0,195342.637,0.0,98265159.91,0,0,0,1,2,0,1,2
70,6,10.1.1.1,595229600,1.807878,0,100,0,0,0,0,0,3,5,92,16,16,0,1422,-1.0,-1.0,0.0,0.0,0,0,0,1,1,0,1,1
74,6,10.1.1.4,3743576265,1.885616,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,100328.044,0.0,57788953.1,0,0,0,1,4,0,1,4
76,6,10.1.1.8,3884774358,1.975695,0,100,0,0,0,0,0,0,93,7,16,16,0,622,0.0,26358.057,0.0,16396819.82,0,0,0,1,8,0,1,8
81,6,10.1.1.2,2550164764,2.062847,0,100,0,0,0,0,0,0,100,0,16,15,0,504,0.0,84020.316,0.0,42426898.56,0,0,0,1,2,0,1,2
87,6,10.1.1.4,3743576265,2.182531,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,86219.946,0.0,49662688.99,0,0,0,1,4,0,1,4
95,6,10.1.1.2,2550164764,2.358327,0,100,0,0,0,0,0,0,100,0,15,16,0,512,0.0,86638.756,0.0,44359042.93,0,0,0,1,2,0,1,2
105,6,10.1.1.4,3743576265,2.535374,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,72553.555,0.0,41790847.58,0,0,0,1,4,0,1,4
109,6,10.1.1.2,2550164764,2.638968,0,100,0,0,0,0,0,1,99,0,16,16,0,502,0.0,91219.718,0.0,45828786.18,0,0,0,1,2,0,1,2
115,6,10.1.1.7,1673646831,2.765288,0,100,0,0,0,0,0,0,100,0,16,16,0,260,0.0,19239.034,0.0,5011383.508,0,0,0,1,7,0,1,7
121,6,10.1.1.4,3743576265,2.861885,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,78404.674,0.0,45161092.48,0,0,0,1,4,0,1,4
123,6,10.1.1.2,2550164764,2.898475,0,100,0,0,0,0,0,1,99,0,16,15,0,502,0.0,98648.614,0.0,49561063.6,0,0,0,1,2,0,1,2
126,6,114.147.225.19,4277500876,3.004307,0,100,0,0,0,0,0,0,0,100,16,1,0,1612,0.0,101302.324,0.0,163380387.7,0,0,0,0,0,0,1,9
131,6,10.1.1.6,2126477730,3.075856,0,100,0,0,0,0,0,0,100,0,16,16,0,419,-1.0,-1.0,0.0,0.0,0,0,0,1,6,0,1,6
134,6,10.1.1.2,2550164764,3.143241,0,100,0,0,0,0,0,0,100,0,16,16,0,508,0.0,104589.691,0.0,53215234.81,0,0,0,1,2,0,1,2
136,6,10.1.1.4,3743576265,3.214517,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,72596.919,0.0,41815825.24,0,0,0,1,4,0,1,4
137,6,10.1.1.8,3884774358,3.225412,0,100,0,0,0,0,0,0,96,4,16,16,0,593,0.0,20484.638,0.0,12166236.06,0,0,0,1,8,0,1,8
138,6,10.1.1.3,159023198,3.232033,0,100,0,0,0,0,0,0,0,100,16,16,0,1489,0.0,16539.584,0.0,24632070.97,0,0,0,1,3,0,1,3
142,6,10.1.1.2,2550164764,3.29191,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,172194.602,0.0,88163636.05,0,0,0,1,2,0,1,2
149,6,10.1.1.1,595229600,3.349843,0,100,0,0,0,0,0,2,8,90,16,16,0,1409,0.0,16602.193,0.0,23407763.35,0,0,0,1,1,0,1,1
153,6,10.1.1.9,3428079016,3.416288,0,100,0,0,0,0,0,0,0,100,16,16,0,1531,-1.0,-1.0,0.0,0.0,0,0,0,1,9,0,1,9
158,6,10.1.1.4,3743576265,3.465779,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,101885.702,0.0,58686164.09,0,0,0,1,4,0,1,4
159,6,10.1.1.2,2550164764,3.467203,0,100,0,0,0,0,0,0,100,0,15,16,0,506,0.0,146041.027,0.0,74025275.76,0,0,0,1,2,0,1,2
173,6,10.1.1.2,2550164764,3.780071,0,100,0,0,0,0,0,0,100,0,16,16,0,506,0.0,81823.676,0.0,41422417.69,0,0,0,1,2,0,1,2
174,6,10.1.1.4,3743576265,3.7887,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,79276.346,0.0,45663175.45,0,0,0,1,4,0,1,4
180,6,10.1.1.2,2550164764,3.919291,0,100,0,0,0,0,0,0,100,0,16,16,0,504,0.0,183881.627,0.0,92852866.43,0,0,0,1,2,0,1,2
191,6,10.1.1.4,3743576265,4.109471,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,79807.719,0.0,45969245.88,0,0,0,1,4,0,1,4
192,6,10.1.1.2,2550164764,4.114544,0,100,0,0,0,0,0,0,100,0,16,16,0,508,0.0,131112.012,0.0,66625880.13,0,0,0,1,2,0,1,2
