Unnamed: 0,protocol,IP,hash ID,Time,F_Pck,B_Pck,F_P_L1,F_P_L2,F_P_L3,F_P_L4,B_P_L1,B_P_L2,B_P_L3,B_P_L4,F_Hash_IPT,B_Hash_IPT,F_P_L_A,B_P_L_A,F_IA_T_M,F_IA_T_S,A_M,Detection_Time,I_M,F_TCP_S_C,B_TCP_S_C,Label_T,Label_AB,Label_Multi_A,Prelabel_T,Prelabel_AB
0,6,150.5.240.98,2375168699,0.133887,87,13,1,2,0,84,13,0,0,0,1,14,1611,64,-1,-1,0,0,0,0,0,0,0,0,0,0
1,6,172.16.0.5,2407502454,0.140385,100,0,0,0,97,3,0,0,0,0,15,16,516,0,-1,-1,0,0,0,0,0,0,0,0,0,0
2,6,172.16.0.5,2407502454,0.203121,100,0,0,0,89,11,0,0,0,0,16,16,635,0,408058.945,0,259329620.6,0,0,0,0,0,0,0,0,0
3,6,10.1.1.2,2550164764,0.215837,0,100,0,0,0,0,0,0,100,0,16,14,0,503,-1,-1,0,0.18,0,0,0,0,1,2,0,1
4,6,150.5.240.98,2375168699,0.267831,80,20,1,1,2,76,20,0,0,0,1,15,1595,64,152899.68,38224.92,243905569.2,0,2446394.877,0,0,0,0,0,0,0
5,6,172.16.0.5,2407502454,0.275206,100,0,0,0,92,8,0,0,0,0,16,16,594,0,355135.597,0,211149420.7,0,0,0,0,0,0,0,0,0
6,6,10.1.1.4,3743576265,0.301639,0,100,0,0,0,0,0,0,100,0,16,16,0,576,-1,-1,0,0.15,0,0,0,0,1,4,0,1
7,6,172.16.0.5,2407502454,0.343467,100,0,0,0,91,9,0,0,0,0,16,16,602,0,375031.635,0,225859052,0,0,0,0,0,0,0,0,0
8,6,10.1.1.2,2550164764,0.343668,0,100,0,0,0,0,0,0,100,0,16,15,0,512,0,200264.439,0,0.18,102535393,0,0,0,1,2,0,1
9,6,150.5.240.98,2375168699,0.404815,89,11,0,0,4,85,11,0,0,0,1,13,1648,64,166326.15,20557.165,274135397.1,0,1315658.538,0,0,0,0,0,0,0
10,6,172.16.0.5,2407502454,0.410869,100,0,0,0,89,11,0,0,0,0,16,15,629,0,379809.987,0,238946059.1,0,0,0,0,0,0,0,0,0
11,6,172.16.0.5,2407502454,0.491649,100,0,0,1,84,15,0,0,0,0,16,16,661,0,316910.947,0,209516165.1,0,0,0,0,0,0,0,0,0
12,6,10.1.1.2,2550164764,0.501556,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0,162140.317,0,0.18,83015842.52,0,0,0,1,2,0,1
13,6,131.172.112.235,3883364168,0.519119,100,0,0,0,0,100,0,0,0,0,1,4,1697,0,-1,-1,0,0,0,0,0,0,0,0,0,0
14,6,203.84.173.80,3285982007,0.519119,0,100,0,0,0,0,0,0,0,100,4,1,0,1697,-1,-1,0,0,0,0,0,0,0,0,0,0
15,6,150.5.240.98,2375168699,0.539684,87,13,0,1,1,85,13,0,0,0,1,15,1666,64,165137.902,24675.778,275153911.2,0,1579249.822,0,0,0,0,0,0,0
16,6,172.16.0.5,2407502454,0.565156,100,0,0,0,86,14,0,0,0,0,16,16,640,0,348265.817,0,223113013.2,0,0,0,0,0,0,0,0,0
17,6,10.1.1.4,3743576265,0.631884,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0,77518.202,0,0.15,44650484.33,0,0,0,1,4,0,1
18,6,172.16.0.5,2407502454,0.654221,100,0,0,0,89,11,0,0,0,0,16,16,623,0,287430.286,0,179172543.4,0,0,0,0,0,0,0,0,0
19,6,10.1.1.2,2550164764,0.671655,0,100,0,0,0,0,0,0,100,0,16,15,0,506,0,150500.573,0,0.18,76285730.51,0,0,0,1,2,0,1
20,6,172.16.0.5,2407502454,0.728804,100,0,0,0,85,15,0,0,0,0,16,16,664,0,343241.511,0,228022200.5,0,0,0,0,0,0,0,0,0
21,6,150.5.240.98,2375168699,0.734661,85,15,0,1,2,82,15,0,0,0,1,16,1588,64,111602.881,19694.626,177304153.9,0,1260456.07,0,0,0,0,0,0,0
22,6,172.16.0.5,756589082,0.797412,73,27,73,0,0,0,27,0,0,0,16,16,64,64,-1,-1,0,0,0,73,0,0,0,0,0,0
23,6,10.1.1.5,2060384384,0.797412,27,73,27,0,0,0,73,0,0,0,16,16,64,64,-1,-1,0,0,0,0,73,1,0,0,1,0
